recommendation_id,teacher_id,training_code,training_title,target_competency_code,relevance_score,expected_risk_reduction,explanation_fr,priority
R-PROG-ENS001,ENS001,F002,Architecture logicielle orientée services,PROG,0.6147,0.3,Recommande car gap 2 sur Programmation et stagnation >= 90 jours,MODEREE
R-BD-ENS002,ENS002,F003,Data Engineering et pipelines,BD,0.4512,0.15,Recommande car gap 1 sur Bases de Donnees et stagnation >= 90 jours,MODEREE
R-RESEAU-ENS003,ENS003,F009,Architecture réseau et sécurité TCP/IP,RESEAU,1.2867,0.6,Recommande car gap 4 sur Reseaux et stagnation >= 90 jours,HAUTE
R-SEC-ENS003,ENS003,F004,Cybersécurité appliquée,SEC,0.7759,0.3,Recommande car gap 2 sur Securite Informatique et stagnation >= 90 jours,MODEREE
R-GC_STRU-ENS004,ENS004,F006,BIM et modélisation 3D,GC_STRU,0.907,0.45,Recommande car gap 3 sur Structure Batiment et stagnation >= 90 jours,HAUTE
R-GC_MAT-ENS004,ENS004,F010,Matériaux de construction et durabilité,GC_MAT,0.7667,0.3,Recommande car gap 2 sur Matériaux et stagnation >= 90 jours,MODEREE
R-WEB_B-ENS005,ENS005,F005,Développement full-stack React,WEB_B,0.9723,0.45,Recommande car gap 3 sur Developpement Web Back et stagnation >= 90 jours,HAUTE
R-PED-ENS006,ENS006,F007,Pédagogie active par compétences,PED,0.9836,0.45,Recommande car gap 3 sur Pedagogie et stagnation >= 90 jours,HAUTE
R-GESTION-ENS006,ENS006,F008,Management de projet agile,GESTION,1.0364,0.45,Recommande car gap 3 sur Gestion de Projet et stagnation >= 90 jours,HAUTE
R-ALG-ENS007,ENS007,F001,Maîtrise des algorithmes avancés,ALG,1.2878,0.6,Recommande car gap 4 sur Algorithmique et stagnation >= 90 jours,HAUTE
R-BD-ENS008,ENS008,F003,Data Engineering et pipelines,BD,0.4029,0.15,Recommande car gap 1 sur Bases de Donnees et stagnation >= 90 jours,MODEREE
R-RESEAU-ENS009,ENS009,F009,Architecture réseau et sécurité TCP/IP,RESEAU,0.4985,0.15,Recommande car gap 1 sur Reseaux et stagnation >= 90 jours,MODEREE
R-ALG-ENS013,ENS013,F001,Maîtrise des algorithmes avancés,ALG,0.6545,0.3,Recommande car gap 2 sur Algorithmique et stagnation >= 90 jours,MODEREE
