id,code,titre_formation,domaine,type_formation,period_code,date_debut,date_fin,etat_formation,inscriptions_ouvertes,ouverte,charge_horaire_global,prerequis,population_cible
1001,FOR-PED-01,Scénarisation pédagogique active,DOM01,HYBRIDE,WINTER,2026-09-15,2026-10-10,PLANIFIE,TRUE,TRUE,24,"Niveau 4 en COMP01",Enseignants
1002,FOR-PED-02,Évaluation par compétences (LMS),DOM01,DISTANCIEL,WINTER,2026-09-22,2026-10-17,PLANIFIE,TRUE,TRUE,18,"Niveau 4 en COMP02",Enseignants
1003,FOR-PED-03,"Classe inversée & numérique éducatif",DOM01,PRESENTIEL,WINTER,2026-10-06,2026-10-31,PLANIFIE,TRUE,TRUE,21,Aucun,Enseignants
1004,FOR-PED-04,Scénariser un module hybride,DOM01,HYBRIDE,SPRINT,2026-11-10,2026-11-28,PLANIFIE,TRUE,TRUE,30,"Niveau 3 en COMP01","Enseignants & chargés TC"
1005,FOR-PED-05,Grilles d'évaluation Moodle,DOM01,DISTANCIEL,SUMMER,2026-05-12,2026-06-06,ACHEVE,FALSE,FALSE,12,Aucun,Enseignants
1006,FOR-PED-06,"Pédagogie active : les bases",DOM01,PRESENTIEL,WINTER,2026-01-13,2026-02-07,ACHEVE,FALSE,FALSE,21,Aucun,Enseignants
1007,FOR-PED-07,Numérique éducatif,DOM01,DISTANCIEL,SUMMER,2026-06-16,2026-07-11,ACHEVE,FALSE,FALSE,15,Aucun,Enseignants
1008,FOR-PED-08,Évaluation par compétences avancée,DOM01,HYBRIDE,SUMMER,2026-07-28,2026-09-19,EN_COURS,FALSE,TRUE,24,"Niveau 3 en COMP02",Enseignants
1009,FOR-DEV-01,CI/CD Pipelines GitLab,DOM02,DISTANCIEL,WINTER,2026-09-29,2026-10-24,PLANIFIE,TRUE,TRUE,24,"Niveau 3 en COMP04","Enseignants Génie Logiciel"
1010,FOR-DEV-02,Qualité & revue de code,DOM02,PRESENTIEL,WINTER,2026-10-13,2026-11-07,PLANIFIE,TRUE,TRUE,18,"Niveau 4 en COMP05","Enseignants Génie Logiciel"
